;;;;;;;
Ocorrências de alagamento - 2007 a 2016 - SP;;;;;;;
;;;;;;;
DATA;LOCAL;REFERENCIA;SENTIDO;INICIO;FIM;SITUAÇÃO;SUB
08/03/13;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;SP/SANTOS;30/12/1899 15:48:00;30/12/1899 19:05:00;INTRANSITÁVEL;VM
19/03/15;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 15:20:00;30/12/1899 16:10:00;Intransitável;IP
22/12/15;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 17:58:00;30/12/1899 18:49:00;Intransitável;IP
27/01/16;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;SANTOS/SP;30/12/1899 16:33:00;30/12/1899 17:04:00;Intransitável;IP
21/02/11;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;SANTOS/SP;30/12/1899 14:39:00;30/12/1899 15:40:00;INTRANSITÁVEL;IP
13/02/13;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;SANTOS/SP;30/12/1899 19:38:00;30/12/1899 20:19:00;TRANSITAVEL;IP
14/01/11;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 16:32:00;30/12/1899 16:59:00;TRANSITÁVEL;IP
19/01/12;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 21:04:00;30/12/1899 22:01:00;INTRANSITÁVEL;IP
30/11/10;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;SANTOS/SP;30/12/1899 15:44:00;30/12/1899 17:51:00;INTRANSITÁVEL;IP
16/02/11;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 17:10:00;30/12/1899 19:44:00;INTRANSITÁVEL;IP
19/12/12;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 18:27:00;30/12/1899 19:09:00;INTRANSITÁVEL;IP
10/01/11;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;SANTOS/SP;30/12/1899 23:03:00;30/12/1899 00:41:00;TRANSITÁVEL;IP
12/04/14;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;SP/SANTOS;30/12/1899 21:10:00;30/12/1899 21:37:00;TRANSITÁVEL;IP
15/01/14;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 20:03:00;30/12/1899 20:57:00;Intransitável;IP
26/11/09;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 18:10:00;30/12/1899 19:15:00;INTRANSITÁVEL;IP
07/02/09;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 19:15:00;30/12/1899 20:05:00;INTRANSITÁVEL;IP
27/01/15;ABRAÃO DE MORAIS, AV. PROF.;FAGUNDES FILHO, AV.;AMBOS;30/12/1899 21:26:00;30/12/1899 22:05:00;Intransitável;IP
09/03/16;ABRAÃO DE MORAIS, AV. PROF.;FRANCISCO TAPAJOS, R.;SANTOS/SP;30/12/1899 18:05:00;30/12/1899 19:06:00;transitável;IP
08/02/07;ABRAÃO DE MORAIS, AV. PROF.;FRANCISCO TAPAJÓS, R.;SANTOS/SP;30/12/1899 18:40:00;30/12/1899 19:39:00;INTRANSITÁVEL;IP
16/03/15;ABRAÃO DE MORAIS, AV. PROF.;FRANCISCO TAPAJÓS, R.;AMBOS;30/12/1899 15:23:00;30/12/1899 15:45:00;Intransitável;IP
15/02/16;ABRAÃO DE MORAIS, AV. PROF.;FRANCISCO TAPAJÓS, R.;AMBOS;30/12/1899 15:22:00;30/12/1899 16:12:00;Intransitável;IP
16/02/11;ABRAÃO DE MORAIS, AV. PROF.;FRANCISCO TAPAJÓS, R.;SANTOS/SP;30/12/1899 16:52:00;30/12/1899 19:44:00;INTRANSITÁVEL;IP
22/12/14;ABRAÃO DE MORAIS, AV. PROF.;FRANCISCO TAPAJÓS, R.;SANTOS/SP;30/12/1899 20:33:00;30/12/1899 20:36:00;Intransitável;IP
24/01/14;ABRAÃO DE MORAIS, AV. PROF.;FRANCISCO TAPAJÓS, R.;SANTOS/SP;30/12/1899 17:05:00;30/12/1899 17:39:00;INTRANSITÁVEL;IP
19/03/15;ABRAÃO DE MORAIS, AV. PROF.;IBIRAREMA, R.;AMBOS;30/12/1899 16:52:00;30/12/1899 17:17:00;Intransitável;IP
17/02/10;ABRAÃO DE MORAIS, AV. PROF.;IBIRAREMA, R.;SP/SANTOS;30/12/1899 19:26:00;30/12/1899 20:03:00;INTRANSITÁVEL;IP
19/01/12;ABRAÃO DE MORAIS, AV. PROF.;IBIRAREMA, R.;AMBOS;30/12/1899 21:17:00;30/12/1899 21:59:00;INTRANSITÁVEL;IP
13/12/10;ABRAÃO DE MORAIS, AV. PROF.;IBIRAREMA, R.;SP/SANTOS;30/12/1899 17:50:00;30/12/1899 18:27:00;TRANSITÁVEL;IP
09/03/13;ABRAÃO DE MORAIS, AV. PROF.;IBIRAREMA, R.;SP/SANTOS;30/12/1899 19:34:00;30/12/1899 20:04:00;INTRANSITÁVEL;IP
07/02/08;ABRAÃO DE MORAIS, AV. PROF.;IBIRAREMA, R.;AMBOS;30/12/1899 16:24:00;30/12/1899 16:30:00;TRANSITÁVEL;IP
24/12/08;ABRAÃO DE MORAIS, AV. PROF.;IBIRAREMA, R.;AMBOS;30/12/1899 20:11:00;30/12/1899 21:46:00;TRANSITÁVEL;IP
19/02/16;ABRAÃO DE MORAIS, AV. PROF.;LEONOR KAUPA, PÇ.;SANTOS/SP;30/12/1899 16:25:00;30/12/1899 17:10:00;Intransitável;IP
17/02/16;ABRAÃO DE MORAIS, AV. PROF.;LEONOR KAUPA, PÇ.;SANTOS/SP;30/12/1899 17:10:00;30/12/1899 18:00:00;Intransitável;IP
25/02/07;ABRAÃO DE MORAIS, AV. PROF.;LEONOR KAUPA, PÇ.;AMBOS;30/12/1899 17:19:00;30/12/1899 18:32:00;INTRANSITÁVEL;IP
15/02/16;ABRAÃO DE MORAIS, AV. PROF.;LEONOR KAUPA, PÇ.;SANTOS/SP;30/12/1899 15:10:00;30/12/1899 16:46:00;Intransitável;IP
